ID,Tool
67954,Esquadria magnética (Íman)
23816,Vareta TIG Inox ER316L 2.4mm
114589,"Elétrodo E7018-A1 2,5 mm"
8004,"Chave de Impacto 3/4"" 27 mm"
7982,"Chave de Impacto 1"" 27 mm"
30909,Pilha AA
23016,"Chave de Impacto Longa 3/4"" 32 mm"
27391,Cinta/Fita de Marcação de tubos (Esquadria)
26613,Luva Borracha (lavagens industriais) Nº8
29434,Jogo de vazadores até 30mm
15183,"Elétrodo E308L 3,2 mm"
39211,Jogo chaves pancada estrelas/fendas
23799,"Cardan 3/4"""
24583,Lamela para Rebolo G40 30mm
27685,Lâminas Serra-Sabre
29430,Encaixe rápido Árgon fêmea com canhão 6mm (com espiga)
30289,Porta-identificação de fio 6-10mm²
29352,Ponteira Isolada Dupla 0.50mm
53044,Bomba massa manual
23653,Broca de Ferro HSS 5mm
29353,Ponteira Isolada Dupla 0.75mm
29354,Ponteira Isolada Dupla 1mm
23832,Jogo Punções de Sacar Cavilhas de 2 a 8 mm
29475,"Cabo Elétrico H07V-K (FV) 1,5 AZUL"
22496,Chave de Pancada Luneta 85
29355,Ponteira Isolada Dupla 1.5mm
18766,Base magnética Universal de comparador
22548,Chave de Boca-Luneta 32
24587,Lamela para Rebolo G60 60mm
22889,Alicate Freios Int. Pontas Direitas 175 mm
26959,Óleo de Corte
24118,Suta Simples 200-300mm
18717,Bota PVC Biq. e Palm. Aço Tam. 41
23826,Escopro/Talhadeira 10x150mm (Pequeno/Médio)
27778,Fresa WELDON HSS 16x30mm
23649,Broca de Ferro HSS 4mm
23831,Jogo Punções de Arrombar de 4 a 8 mm
22408,Chave de Bocas 20-22
26713,Esfregão Scotch Brite
29346,Ponteira Isolada 6mm
32037,Broca SDS-PLUS 20x300mm
31562,Disco Ø 180 * 7mm Premium
29343,Ponteira Isolada 1.5mm
24556,Chave de Bocas 8-9
30287,Porta-identificação de fio 2-4mm²
28714,"Trincha Júnior 3"""
23616,Disco Ø 180 * 1.8mm
23785,"Roquete 1/2"""
4545,Máquina de Indução Magnética
27781,Fresa WELDON HSS 20x30mm
114775,Vidro transparente redondo p/ máscara soldar
5176,Chave de Bocas 25-28
4357,Chicote CEE - Schuko Triplo
5084,Chave de Luneta 20-22
24054,X-Ato - Xizato
