MOVEMENTID,ToolID,Tool,TotalVolume
76922,127176,Cinta Plana 2 Ton 2 Metros,1.00
76922,105674,Diferencial de 1 Ton,1.00
76922,134154,Baú de Arrumação,1.00
76922,107904,Baú de arrumação,1.00
76922,135147,Caixa de Ferramenta Mecânico,1.00
76922,111104,Rebolo (Retificadora direta),1.00
76922,135298,Carro duplo de transporte de gás,1.00
76922,116477,Chicote CEE - Schuko Simples,1.00
76922,121223,Extintor Pó-Químico ABC 6kg,1.00
76922,124336,Extensão Tripla 230V,1.00
76922,127688,"Garra apanha tubos 6"" - 14""",1.00
76922,133440,Chicote CEE - Schuko Triplo,1.00
76922,133459,Chicote CEE - Schuko Triplo,1.00
76922,133462,Chicote CEE - Schuko Triplo,1.00
76922,134160,Baú de Arrumação,1.00
76761,16794,Bateria de 5.5 Amp,6.00
76761,23170,Carregador de Baterias,2.00
76761,131404,Projetor LED a Bateria,1.00
76761,9119,"Aparafusadora Pneumática de Impacto 1""",1.00
76761,51725,Projetor LED a bateria,1.00
76761,108185,"Aparafusadora Pneumática de Impacto 1""",1.00
76761,132615,Projetor LED a Bateria,1.00
76761,131399,Projetor LED a Bateria,1.00
76761,109198,Projetor LED a bateria,1.00
76761,132614,Projetor LED a Bateria,1.00
