ID,NAME,SUBFAMILYID
2865,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2866,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2867,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2868,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2869,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2870,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2871,Rebolo (retificadora direta),843
2873,"Diferencial de 1,5 Ton",949
2874,"Diferencial de 1,5 Ton",949
2875,"Diferencial de 1,5 Ton",949
2876,Retificadora diam. 125 mm,863
2877,"Diferencial de 1,5 Ton",949
2878,Rebolo (retificadora direta),843
2879,Rebolo (retificadora direta),843
2880,Rebolo (retificadora direta),843
2881,Rebolo (retificadora direta),843
2882,Rebolo (retificadora direta),843
2883,Rebolo (retificadora direta),843
2884,Rebolo (retificadora direta),843
2888,Rebolo (retificadora direta),843
2889,Rebolo (retificadora direta),843
2892,Rebolo (retificadora direta),843
2893,Rebolo (retificadora direta),843
2894,Rebolo (retificadora direta),843
2895,Rebolo (retificadora direta),843
2896,Retificadora diam. 125 mm (sistema homem morto),863
2897,Retificadora diam. 125 mm,863
2898,Retificadora diam. 125 mm,863
2899,Retificadora diam. 125 mm,863
2900,Retificadora diam. 125 mm,863
2901,Retificadora diam. 125 mm,863
2902,Retificadora diam. 180 mm,863
2903,Retificadora diam. 125 mm,863
2904,Retificadora diam. 125 mm,863
2905,Retificadora diam. 125 mm,863
2906,Retificadora diam. 125 mm,863
2907,Extensão Tripla 220V,660
2908,Extensão Tripla 220V,660
2909,Extensão Tripla 220V,660
2910,Extensão Tripla 220V,660
2911,Retificadora diam. 125 mm,863
2912,Retificadora diam. 125 mm,863
2913,Extensão de Alicate,965
2914,Extensão de Alicate,965
2915,Extensão de Alicate,965
2916,Extensão de Alicate,965
2917,Extensão de Alicate,965
2918,Extensão de Alicate,965
2919,Retificadora diam. 125 mm,863
2920,Retificadora diam. 125 mm,863
2921,Retificadora diam. 125 mm,863
2923,Diferencial de 1 Ton,948
2924,Diferencial de 1 Ton,948
2925,Extensão Tripla 220V,660
2926,Extensão Tripla 220V,660
2927,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2929,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2930,Extensão Tripla 220V,660
2931,Extensão Tripla 220V,660
2932,Extensão Tripla 220V,660
2933,Extensão Tripla 220V,660
2934,Extensão Tripla 220V,660
2935,Extensão Tripla 220V,660
2936,Extensão Tripla 220V,660
2937,Extensão Tripla 220V,660
2938,Extensão Tripla 220V,660
2939,Extensão Tripla 220V,660
2940,Extensão Tripla 220V,660
2941,Extensão Simples 220V,660
2942,Chicote CEE - Schuko Triplo,956
2943,Chicote CEE - Schuko Triplo,956
2944,Chicote CEE - Schuko Simples,956
2945,Chicote CEE - Schuko Simples - Perdido Joaquim Carreiro - 22.1554,956
2946,Chicote CEE - Schuko Triplo,956
2947,Chicote CEE - Schuko Simples,956
2948,Extensão CEE - Schuko Simples,584
2949,Extensão Tripla 220V,660
2951,Extensão CEE - Schuko Simples,584
2952,Extensão CEE 16 Amp.,584
2953,Extensão CEE - Schuko Simples,584
2956,Chicote 16 Amp. 5 Pinos - 16 Amp. 4 Pinos,957
2957,Chicote 16 Amp. 5 Pinos - 16 Amp. 4 Pinos,957
2958,Extensão 16 Amp. 4 Pinos,656
2959,Extensão 16 Amp. 4 Pinos,656
2960,Extensão 16 Amp. 4 Pinos,656
2961,Extensão 16 Amp. 4 Pinos,656
2962,Extensão 32 Amp. 4 Pinos,657
2963,Extensão 32 Amp. 4 Pinos,657
2964,Extensão 32 Amp. 4 Pinos,657
2965,Extensão 32 Amp. 4 Pinos,657
2966,Extensão 32 Amp. 4 Pinos,657
2967,Extensão 32 Amp. 4 Pinos,657
2968,Extensão 63 Amp. 4 Pinos,657
2969,Extensão 32 Amp. 4 Pinos,657
2970,Retificadora diam. 125 mm,863
2971,Chicote 63 Amp. 4 Pinos - 63 Amp. 5 Pinos,959
2972,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos,959
2973,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos,959
2974,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos,959
2975,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos,959
2976,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,958
2977,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,958
2978,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,958
2980,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,958
2981,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,958
2982,Chicote 32 Amp. 5 Pinos - 16 Amp. 4 Pinos,958
2983,Chicote 32 Amp. 4 Pinos - 16 Amp. 4 Pinos,958
